,m,n,pyearth,earth,time,forward_iterations,rsq
0,100,10,0,1,0.027,10,0.93712346973
1,100,10,1,0,0.10261797905,6,0.906428337017
2,100,10,0,1,0.02,10,0.910788072732
3,100,10,1,0,0.101647138596,6,0.703350477779
4,100,10,0,1,0.018,8,0.980567440256
5,100,10,1,0,0.0646209716797,5,0.807224876955
6,100,10,0,1,0.022,10,0.994904673805
7,100,10,1,0,0.102941036224,6,0.977144237115
8,100,10,0,1,0.02,9,0.962091066661
9,100,10,1,0,0.0867941379547,5,0.794635911999
10,200,10,0,1,0.033,10,0.939466785288
11,200,10,1,0,0.0698959827423,4,0.881349237703
12,200,10,0,1,0.014,3,0.987868199201
13,200,10,1,0,0.07155585289,4,0.987514324122
14,200,10,0,1,0.034,10,0.98257944966
15,200,10,1,0,0.108926057816,6,0.928907101605
16,200,10,0,1,0.03,9,0.993346910456
17,200,10,1,0,0.096666097641,5,0.954336847226
18,200,10,0,1,0.035,9,0.992041084989
19,200,10,1,0,0.07137799263,4,0.927451727977
20,300,10,0,1,0.045,10,0.983773778936
21,300,10,1,0,0.121840953827,5,0.878165757911
22,300,10,0,1,0.04,7,0.982979223777
23,300,10,1,0,0.0838799476624,4,0.912977715634
24,300,10,0,1,0.019,4,0.991617858552
25,300,10,1,0,0.0852460861206,4,0.987637505443
26,300,10,0,1,0.022,5,0.997143918069
27,300,10,1,0,0.0832071304321,4,0.991442819333
28,300,10,0,1,0.04,8,0.916934968035
29,300,10,1,0,0.0783448219299,4,0.693782919546
30,400,10,0,1,0.04,7,0.993177515725
31,400,10,1,0,0.0937149524689,4,0.978078693458
32,400,10,0,1,0.026,5,0.987273950272
33,400,10,1,0,0.0952551364899,4,0.984273544095
34,400,10,0,1,0.019,3,0.97514467925
35,400,10,1,0,0.14598107338,5,0.97654652422
36,400,10,0,1,0.038,7,0.998669254652
37,400,10,1,0,0.141005039215,5,0.99573621871
38,400,10,0,1,0.059,9,0.929539057701
39,400,10,1,0,0.0904800891876,4,0.733580993993
40,500,10,0,1,0.017,3,0.996602320005
41,500,10,1,0,0.102050065994,4,0.970927509961
42,500,10,0,1,0.069,10,0.179352252909
43,500,10,1,0,0.201341152191,7,0.0641426059491
44,500,10,0,1,0.017,3,0.984465503409
45,500,10,1,0,0.0548079013824,3,0.982310361821
46,500,10,0,1,0.066,10,0.949191819926
47,500,10,1,0,0.136166095734,5,0.949890141938
48,500,10,0,1,0.063,10,0.8183782089
49,500,10,1,0,0.132843971252,5,0.807458660914
50,1000,10,0,1,0.082,8,0.840596199905
51,1000,10,1,0,0.163609027863,4,0.858545638031
52,1000,10,0,1,0.07,6,0.993687977304
53,1000,10,1,0,0.159330129623,4,0.958828695778
54,1000,10,0,1,0.118,8,0.987109211406
55,1000,10,1,0,0.158530950546,4,0.817440242337
56,1000,10,0,1,0.035,3,0.959850488384
57,1000,10,1,0,0.159105062485,4,0.960163032343
58,1000,10,0,1,0.03,3,0.975732218843
59,1000,10,1,0,0.153614997864,4,0.976097360295
60,1500,10,0,1,0.072,5,0.898765107098
61,1500,10,1,0,0.192503929138,4,0.897713840966
62,1500,10,0,1,0.184,10,0.9344398784
63,1500,10,1,0,0.259996175766,5,0.940427382692
64,1500,10,0,1,0.197,10,0.629980503256
65,1500,10,1,0,0.204916954041,4,0.358383749696
66,1500,10,0,1,0.173,9,0.984558339743
67,1500,10,1,0,0.330522060394,5,0.977422333507
68,1500,10,0,1,0.201,9,0.982724736375
69,1500,10,1,0,0.20775103569,4,0.920892387038
70,2000,10,0,1,0.199,7,0.887326995278
71,2000,10,1,0,0.303143024445,4,0.854285234074
72,2000,10,0,1,0.054,3,0.954618971763
73,2000,10,1,0,0.267111063004,4,0.954967692347
74,2000,10,0,1,0.166,7,0.993954101335
75,2000,10,1,0,0.269733905792,4,0.94864400351
76,2000,10,0,1,0.172,9,0.0237139449775
77,2000,10,1,0,0.430456876755,6,4.4408920985e-16
78,2000,10,0,1,0.07,3,0.949573083092
79,2000,10,1,0,0.260319948196,4,0.950133770414
80,2500,10,0,1,0.273,8,0.983511012708
81,2500,10,1,0,0.32466006279,4,0.71045729171
82,2500,10,0,1,0.282,10,0.610677695157
83,2500,10,1,0,0.470608949661,5,0.60328551622
84,2500,10,0,1,0.029,1,0.927610242934
85,2500,10,1,0,0.0712189674377,2,0.9279191053
86,2500,10,0,1,0.296,9,0.969198328908
87,2500,10,1,0,0.325768947601,4,0.884644949001
88,2500,10,0,1,0.312,9,0.974964679905
89,2500,10,1,0,0.330014944077,4,0.954148818779
90,100,20,0,1,0.088,16,0.990706055702
91,100,20,1,0,0.154814004898,5,0.76277086573
92,100,20,0,1,0.09,17,0.989506092838
93,100,20,1,0,0.144755840302,5,0.863755566446
94,100,20,0,1,0.023,6,0.993148859137
95,100,20,1,0,0.158121824265,5,0.984777187493
96,100,20,0,1,0.049,11,0.995611149606
97,100,20,1,0,0.125506877899,5,0.803371747257
98,100,20,0,1,0.105,18,0.953383893903
99,100,20,1,0,0.114514112473,5,0.509865223872
100,200,20,0,1,0.082,10,0.993403980304
101,200,20,1,0,0.153649091721,5,0.834127955576
102,200,20,0,1,0.025,4,0.995513134939
103,200,20,1,0,0.125449180603,4,0.996268375624
104,200,20,0,1,0.217,20,0.869544022912
105,200,20,1,0,0.177597999573,5,0.767018343717
106,200,20,0,1,0.032,5,0.998055706977
107,200,20,1,0,0.130255937576,4,0.996793586111
108,200,20,0,1,0.021,4,0.994754115247
109,200,20,1,0,0.125893115997,4,0.994434835374
110,300,20,0,1,0.028,4,0.993971753348
111,300,20,1,0,0.142023086548,4,0.992507200029
112,300,20,0,1,0.156,12,0.967904804525
113,300,20,1,0,0.214740991592,5,0.952463075794
114,300,20,0,1,0.059,7,0.992603236846
115,300,20,1,0,0.226001024246,5,0.98659938052
116,300,20,0,1,0.048,6,0.992787674754
117,300,20,1,0,0.142019033432,4,0.980547397977
118,300,20,0,1,0.05,6,0.959567957584
119,300,20,1,0,0.0344820022583,2,0.953325708516
120,400,20,0,1,0.154,9,0.994114116079
121,400,20,1,0,0.238269090652,5,0.957220807355
122,400,20,0,1,0.307,15,0.98891501724
123,400,20,1,0,0.16997718811,4,0.855104593218
124,400,20,0,1,0.293,15,0.972904329696
125,400,20,1,0,0.159691095352,4,0.899785795455
126,400,20,0,1,0.397,20,0.923269952466
127,400,20,1,0,0.167947053909,4,0.891452524428
128,400,20,0,1,0.296,15,0.991689379531
