,m,n,pyearth,earth,time,forward_iterations,rsq
0,100,10,0,1,0.024,9,0.981664479068
1,100,10,1,0,0.0519850254059,5,0.856511134819
2,100,10,0,1,0.014,9,0.969883021903
3,100,10,1,0,0.0423519611359,4,0.943420105079
4,100,10,0,1,0.015,10,0.989733717667
5,100,10,1,0,0.080276966095,6,0.676769154199
6,100,10,0,1,0.015,9,0.881069425262
7,100,10,1,0,0.0763609409332,5,0.851104604283
8,100,10,0,1,0.007,3,0.997536803896
9,100,10,1,0,0.0213279724121,3,0.995601228475
10,200,10,0,1,0.024,8,0.952395878038
11,200,10,1,0,0.0522830486298,4,0.899809083985
12,200,10,0,1,0.017,6,0.988146467717
13,200,10,1,0,0.0476779937744,4,0.965164625992
14,200,10,0,1,0.022,10,0.964339922841
15,200,10,1,0,0.0562601089478,5,0.822736515158
16,200,10,0,1,0.025,10,0.87642882601
17,200,10,1,0,0.0669920444489,5,0.633161015721
18,200,10,0,1,0.012,5,0.990828858109
19,200,10,1,0,0.0470471382141,4,0.992633363326
20,300,10,0,1,0.033,8,0.9635495568
21,300,10,1,0,0.0748119354248,5,0.950050430758
22,300,10,0,1,0.029,8,0.97376287971
23,300,10,1,0,0.0755200386047,5,0.94045883037
24,300,10,0,1,0.042,10,0.949061189758
25,300,10,1,0,0.0739870071411,5,0.742062432522
26,300,10,0,1,0.03,10,0.461808407306
27,300,10,1,0,0.0995209217072,8,0.393835381331
28,300,10,0,1,0.031,8,0.984744587911
29,300,10,1,0,0.069216966629,5,0.969613953354
30,400,10,0,1,0.04,9,0.964430727802
31,400,10,1,0,0.0883111953735,5,0.930068182766
32,400,10,0,1,0.024,5,0.97841699642
33,400,10,1,0,0.0545799732208,4,0.961813269987
34,400,10,0,1,0.049,10,0.973369610872
35,400,10,1,0,0.0555031299591,4,0.75710629779
36,400,10,0,1,0.007,1,0.996966511418
37,400,10,1,0,0.0137691497803,2,0.997030702826
38,400,10,0,1,0.051,9,0.976958930173
39,400,10,1,0,0.0533239841461,4,0.86301272019
40,500,10,0,1,0.042,8,0.810366725101
41,500,10,1,0,0.0579628944397,4,0.637940992157
42,500,10,0,1,0.046,8,0.980422119099
43,500,10,1,0,0.0603749752045,4,0.958791946248
44,500,10,0,1,0.052,9,0.991709309175
45,500,10,1,0,0.0839869976044,5,0.889866997591
46,500,10,0,1,0.045,8,0.980100268578
47,500,10,1,0,0.0918519496918,5,0.915342951338
48,500,10,0,1,0.057,10,0.936115814553
49,500,10,1,0,0.088357925415,5,0.813271788594
50,1000,10,0,1,0.106,10,0.984893345757
51,1000,10,1,0,0.0812709331512,4,0.801361893681
52,1000,10,0,1,0.069,6,0.994875843776
53,1000,10,1,0,0.115658998489,5,0.993654984565
54,1000,10,0,1,0.103,10,0.977488514006
55,1000,10,1,0,0.0803601741791,4,0.889379458483
56,1000,10,0,1,0.098,8,0.987240651052
57,1000,10,1,0,0.110306978226,5,0.915208511023
58,1000,10,0,1,0.014,1,0.988912215499
59,1000,10,1,0,0.0190100669861,2,0.988912215499
60,1500,10,0,1,0.096,6,0.993812219862
61,1500,10,1,0,0.104302883148,4,0.96056600922
62,1500,10,0,1,0.058,5,0.99329932298
63,1500,10,1,0,0.104048967361,4,0.991626224108
64,1500,10,0,1,0.015,1,0.99296124622
65,1500,10,1,0,0.025680065155,2,0.993307870873
66,1500,10,0,1,0.134,8,0.993941812647
67,1500,10,1,0,0.103224039078,4,0.973988259851
68,1500,10,0,1,0.118,8,0.683979674738
69,1500,10,1,0,0.104200124741,4,0.677089988544
70,2000,10,0,1,0.095,5,0.964548826233
71,2000,10,1,0,0.124241828918,4,0.959646088792
72,2000,10,0,1,0.04,3,0.996594633933
