,m,n,pyearth,earth,time,forward_iterations,rsq
0,100,10,0,1,0.1,3,0.996986739681
1,100,10,1,0,0.349014997482,3,1.0
2,100,10,0,1,0.01,2,0.995140004643
3,100,10,1,0,0.0276188850403,3,1.0
4,200,10,0,1,0.016,4,0.997449609827
5,200,10,1,0,0.0320880413055,3,1.0
6,200,10,0,1,0.016,4,0.993953456112
7,200,10,1,0,0.0360090732574,3,1.0
8,300,10,0,1,0.019,3,0.995072972037
9,300,10,1,0,0.0364999771118,3,1.0
10,300,10,0,1,0.017,3,0.997045338798
11,300,10,1,0,0.0337419509888,3,1.0
12,400,10,0,1,0.025,3,0.998429941207
13,400,10,1,0,0.0494379997253,3,1.0
14,400,10,0,1,0.023,3,0.997794984777
15,400,10,1,0,0.039614200592,3,1.0
16,500,10,0,1,0.027,3,0.997805497206
17,500,10,1,0,0.0491089820862,3,1.0
18,500,10,0,1,0.024,3,0.994999461229
19,500,10,1,0,0.0435380935669,3,1.0
20,1000,10,0,1,0.047,3,0.998000825846
21,1000,10,1,0,0.0737819671631,3,1.0
22,1000,10,0,1,0.046,4,0.996797788545
23,1000,10,1,0,0.0699028968811,3,1.0
24,1500,10,0,1,0.069,3,0.997932214742
25,1500,10,1,0,0.0953340530396,3,1.0
26,1500,10,0,1,0.07,3,0.99657415849
27,1500,10,1,0,0.0910379886627,3,1.0
28,2000,10,0,1,0.099,3,0.995762521603
29,2000,10,1,0,0.124253988266,3,1.0
30,2000,10,0,1,0.072,3,0.993934045718
31,2000,10,1,0,0.109663963318,3,1.0
32,2500,10,0,1,0.116,3,0.994277321347
33,2500,10,1,0,0.134738922119,3,1.0
34,2500,10,0,1,0.114,3,0.996490084069
35,2500,10,1,0,0.14093208313,3,1.0
36,5000,10,0,1,0.183,3,0.992546819862
37,5000,10,1,0,0.263720989227,3,1.0
38,5000,10,0,1,0.212,3,0.996747612263
39,5000,10,1,0,0.278604030609,3,1.0
40,10000,10,0,1,0.616,3,0.995585034172
41,10000,10,1,0,0.641962051392,3,1.0
42,10000,10,0,1,0.495,3,0.995632040931
43,10000,10,1,0,0.648948907852,3,1.0
44,100,20,0,1,0.015,3,0.996849119792
45,100,20,1,0,0.0479459762573,3,1.0
46,100,20,0,1,0.028,5,0.997369435898
47,100,20,1,0,0.0460050106049,3,1.0
48,200,20,0,1,0.02,3,0.997629571509
49,200,20,1,0,0.0529441833496,3,1.0
50,200,20,0,1,0.016,2,0.991076161677
51,200,20,1,0,0.0613679885864,3,1.0
52,300,20,0,1,0.03,4,0.997313043017
53,300,20,1,0,0.0679669380188,3,1.0
54,300,20,0,1,0.031,3,0.997107150583
55,300,20,1,0,0.0656960010529,3,1.0
56,400,20,0,1,0.04,3,0.997167090615
57,400,20,1,0,0.0780649185181,3,1.0
58,400,20,0,1,0.065,4,0.995049187476
59,400,20,1,0,0.0771970748901,3,1.0
60,500,20,0,1,0.043,3,0.99305540578
61,500,20,1,0,0.0875179767609,3,1.0
62,500,20,0,1,0.044,3,0.996890999215
63,500,20,1,0,0.0836298465729,3,1.0
64,1000,20,0,1,0.073,3,0.993734866536
65,1000,20,1,0,0.130747079849,3,1.0
66,1000,20,0,1,0.089,3,0.997148041279
67,1000,20,1,0,0.121450901031,3,1.0
68,1500,20,0,1,0.131,3,0.997906424537
69,1500,20,1,0,0.17005610466,3,1.0
70,1500,20,0,1,0.125,3,0.996649762988
71,1500,20,1,0,0.168889045715,3,1.0
72,2000,20,0,1,0.16,3,0.995555695659
73,2000,20,1,0,0.220477104187,3,1.0
74,2000,20,0,1,0.125,3,0.99530647408
75,2000,20,1,0,0.21834397316,3,1.0
76,2500,20,0,1,0.204,3,0.996597925268
77,2500,20,1,0,0.285977840424,3,1.0
78,2500,20,0,1,0.165,3,0.993774320961
79,2500,20,1,0,0.263389110565,3,1.0
80,5000,20,0,1,0.422,3,0.99720772405
81,5000,20,1,0,0.548398971558,3,1.0
82,5000,20,0,1,0.445,3,0.996913320309
83,5000,20,1,0,0.504904985428,3,1.0
84,10000,20,0,1,1.216,3,0.996990412312
85,10000,20,1,0,1.28640890121,3,1.0
86,10000,20,0,1,1.136,3,0.997349428814
87,10000,20,1,0,1.2644329071,3,1.0
88,100,30,0,1,0.023,4,0.998800293983
89,100,30,1,0,0.0689640045166,3,1.0
90,100,30,0,1,0.023,3,0.997618965659
91,100,30,1,0,0.0729410648346,3,1.0
92,200,30,0,1,0.024,2,0.993127545992
93,200,30,1,0,0.0888929367065,3,1.0
94,200,30,0,1,0.033,3,0.998185567193
95,200,30,1,0,0.0863528251648,3,1.0
96,300,30,0,1,0.052,4,0.997329787208
97,300,30,1,0,0.0912978649139,3,1.0
98,300,30,0,1,0.049,3,0.998085168574
99,300,30,1,0,0.104395151138,3,1.0
100,400,30,0,1,0.055,3,0.996509799929
101,400,30,1,0,0.110065937042,3,1.0
102,400,30,0,1,0.05,3,0.995076416738
103,400,30,1,0,0.102296113968,3,1.0
104,500,30,0,1,0.071,3,0.997308750655
105,500,30,1,0,0.114593982697,3,1.0
106,500,30,0,1,0.073,3,0.995421118259
107,500,30,1,0,0.123316049576,3,1.0
108,1000,30,0,1,0.131,3,0.997421874882
109,1000,30,1,0,0.187763929367,3,1.0
110,1000,30,0,1,0.131,4,0.996163164525
111,1000,30,1,0,0.181990861893,3,1.0
112,1500,30,0,1,0.225,4,0.997422141456
113,1500,30,1,0,0.256520986557,3,1.0
114,1500,30,0,1,0.142,3,0.994900298944
115,1500,30,1,0,0.244766950607,3,1.0
116,2000,30,0,1,0.189,3,0.993927053246
117,2000,30,1,0,0.324194192886,3,1.0
118,2000,30,0,1,0.236,3,0.996803910908
119,2000,30,1,0,0.315948963165,3,1.0
120,2500,30,0,1,0.299,3,0.996134160304
121,2500,30,1,0,0.377159833908,3,1.0
122,2500,30,0,1,0.247,3,0.993645321866
123,2500,30,1,0,0.390146017075,3,1.0
124,5000,30,0,1,0.663,3,0.996071321977
125,5000,30,1,0,0.782851219177,3,1.0
126,5000,30,0,1,0.729,3,0.994928883392
127,5000,30,1,0,0.747205972672,3,1.0
128,10000,30,0,1,1.923,3,0.997051425649
129,10000,30,1,0,1.86123299599,3,1.0
130,10000,30,0,1,1.739,3,0.995947544836
131,10000,30,1,0,1.89432001114,3,1.0
132,100,40,0,1,0.025,3,0.998031747492
133,100,40,1,0,0.0924060344696,3,1.0
134,100,40,0,1,0.032,5,0.998001122323
135,100,40,1,0,0.08647108078,3,1.0
136,200,40,0,1,0.048,4,0.997570007675
137,200,40,1,0,0.098541021347,3,1.0
138,200,40,0,1,0.041,3,0.996366597454
139,200,40,1,0,0.098690032959,3,1.0
140,300,40,0,1,0.061,4,0.995912093608
141,300,40,1,0,0.130983829498,3,1.0
142,300,40,0,1,0.06,3,0.997163163528
143,300,40,1,0,0.120949983597,3,1.0
144,400,40,0,1,0.08,3,0.997312186663
145,400,40,1,0,0.13676905632,3,1.0
146,400,40,0,1,0.065,3,0.994675147482
147,400,40,1,0,0.134171009064,3,1.0
148,500,40,0,1,0.094,4,0.996575351788
149,500,40,1,0,0.148712873459,3,1.0
150,500,40,0,1,0.088,4,0.996158530247
151,500,40,1,0,0.16025185585,3,1.0
152,1000,40,0,1,0.13,3,0.995248605481
153,1000,40,1,0,0.239500045776,3,1.0
154,1000,40,0,1,0.128,3,0.994583454597
155,1000,40,1,0,0.243481874466,3,1.0
156,1500,40,0,1,0.306,4,0.99802574257
157,1500,40,1,0,0.324378013611,3,1.0
158,1500,40,0,1,0.188,3,0.993439604523
159,1500,40,1,0,0.324156045914,3,1.0
160,2000,40,0,1,0.259,3,0.993690288166
161,2000,40,1,0,0.42493891716,3,1.0
162,2000,40,0,1,0.323,3,0.997545758717
163,2000,40,1,0,0.428315162659,3,1.0
164,2500,40,0,1,0.446,3,0.996189181378
165,2500,40,1,0,0.513185024261,3,1.0
166,2500,40,0,1,0.407,3,0.997092511443
167,2500,40,1,0,0.525315999985,3,1.0
168,5000,40,0,1,0.898,3,0.997015874065
169,5000,40,1,0,1.03311610222,3,1.0
170,5000,40,0,1,0.684,3,0.992413615884
171,5000,40,1,0,0.99452996254,3,1.0
172,10000,40,0,1,1.857,3,0.993419503429
173,10000,40,1,0,2.48477697372,3,1.0
174,10000,40,0,1,2.405,3,0.99643015654
175,10000,40,1,0,2.50002908707,3,1.0
176,100,50,0,1,0.038,4,0.99747794855
177,100,50,1,0,0.107496976852,3,1.0
178,100,50,0,1,0.039,5,0.99639616714
179,100,50,1,0,0.104371070862,3,1.0
180,200,50,0,1,0.059,4,0.996642389112
181,200,50,1,0,0.129642963409,3,1.0
182,200,50,0,1,0.053,3,0.994955029448
183,200,50,1,0,0.125829935074,3,1.0
184,300,50,0,1,0.067,3,0.995559279607
185,300,50,1,0,0.14768910408,3,1.0
186,300,50,0,1,0.078,4,0.997941590656
187,300,50,1,0,0.147215843201,3,1.0
188,400,50,0,1,0.102,4,0.997756372222
189,400,50,1,0,0.16917681694,3,1.0
190,400,50,0,1,0.094,4,0.996432760736
191,400,50,1,0,0.168232917786,3,1.0
192,500,50,0,1,0.108,3,0.998013947177
193,500,50,1,0,0.190272092819,3,1.0
194,500,50,0,1,0.078,2,0.993886631199
195,500,50,1,0,0.188359022141,3,1.0
196,1000,50,0,1,0.17,3,0.994995714239
197,1000,50,1,0,0.301112890244,3,1.0
198,1000,50,0,1,0.2,3,0.996750609201
199,1000,50,1,0,0.300865888596,3,1.0
200,1500,50,0,1,0.243,3,0.993251746435
201,1500,50,1,0,0.408730983734,3,1.0
202,1500,50,0,1,0.378,4,0.997704766104
203,1500,50,1,0,0.408308029175,3,1.0
204,2000,50,0,1,0.442,3,0.996341476806
205,2000,50,1,0,0.525269985199,3,1.0
206,2000,50,0,1,0.506,4,0.997707381264
207,2000,50,1,0,0.522703886032,3,1.0
208,2500,50,0,1,0.402,3,0.992115672143
209,2500,50,1,0,0.631915092468,3,1.0
210,2500,50,0,1,0.513,3,0.997102485952
211,2500,50,1,0,0.643090963364,3,1.0
212,5000,50,0,1,1.178,3,0.996897487124
213,5000,50,1,0,1.30862212181,3,1.0
214,5000,50,0,1,0.907,3,0.993563501687
215,5000,50,1,0,1.70675587654,3,1.0
216,10000,50,0,1,3.194,3,0.99596207432
217,10000,50,1,0,3.40359902382,3,1.0
218,10000,50,0,1,2.563,3,0.99343675315
219,10000,50,1,0,3.24029779434,3,1.0
220,100,100,0,1,0.148,5,0.998578368856
221,100,100,1,0,0.197494983673,3,1.0
222,100,100,0,1,0.128,3,0.997127277804
223,100,100,1,0,0.216748952866,3,1.0
224,200,100,0,1,0.161,4,0.996440706813
225,200,100,1,0,0.250871896744,3,1.0
226,200,100,0,1,0.138,2,0.994232190664
227,200,100,1,0,0.283843994141,3,1.0
228,300,100,0,1,0.179,3,0.997142465983
229,300,100,1,0,0.292049884796,3,1.0
230,300,100,0,1,0.153,2,0.994476742829
231,300,100,1,0,0.290113925934,3,1.0
232,400,100,0,1,0.244,3,0.997992202263
233,400,100,1,0,0.342363834381,3,1.0
234,400,100,0,1,0.232,4,0.997511074594
235,400,100,1,0,0.329746007919,3,1.0
236,500,100,0,1,0.291,3,0.9978025231
237,500,100,1,0,0.37825012207,3,1.0
238,500,100,0,1,0.346,4,0.998588600602
239,500,100,1,0,0.387514829636,3,1.0
240,1000,100,0,1,0.586,4,0.997527504534
241,1000,100,1,0,0.642784118652,3,1.0
242,1000,100,0,1,0.565,4,0.998736397955
243,1000,100,1,0,0.610434055328,3,1.0
244,1500,100,0,1,0.681,3,0.997053379481
245,1500,100,1,0,0.871849060059,3,1.0
246,1500,100,0,1,0.542,3,0.995298814918
247,1500,100,1,0,0.837788105011,3,1.0
248,2000,100,0,1,0.883,3,0.99675232857
249,2000,100,1,0,1.0214908123,3,1.0
250,2000,100,0,1,0.69,3,0.99286063359
251,2000,100,1,0,1.01985502243,3,1.0
252,2500,100,0,1,1.129,3,0.997679062135
253,2500,100,1,0,1.22494697571,3,1.0
254,2500,100,0,1,1.127,3,0.996833035298
255,2500,100,1,0,1.25139403343,3,1.0
256,5000,100,0,1,1.909,3,0.993764696371
257,5000,100,1,0,2.48703694344,3,1.0
258,5000,100,0,1,1.852,3,0.993720407422
259,5000,100,1,0,2.51570796967,3,1.0
260,10000,100,0,1,6.272,3,0.997115677689
261,10000,100,1,0,6.33930897713,3,1.0
262,10000,100,0,1,6.134,3,0.996891815208
263,10000,100,1,0,6.3432059288,3,1.0
264,100,150,0,1,0.185,4,0.997186634084
265,100,150,1,0,0.290755033493,3,1.0
266,100,150,0,1,0.153,4,0.996411337326
267,100,150,1,0,0.289261817932,3,1.0
268,200,150,0,1,0.174,3,0.994651991349
269,200,150,1,0,0.350329875946,3,1.0
