,m,n,pyearth,earth,time,forward_iterations,rsq
0,100,10,0,1,0.016,3,0.996979756443
1,100,10,1,0,0.025139093399,3,1.0
2,100,10,0,1,0.01,4,0.995335885765
3,100,10,1,0,0.0276799201965,3,1.0
4,100,10,0,1,0.011,4,0.997468288279
5,100,10,1,0,0.0262219905853,3,1.0
6,100,10,0,1,0.012,3,0.997867808121
7,100,10,1,0,0.0272560119629,3,1.0
8,100,10,0,1,0.01,4,0.995479739571
9,100,10,1,0,0.028412103653,3,1.0
10,200,10,0,1,0.013,4,0.997977378724
11,200,10,1,0,0.0338690280914,3,1.0
12,200,10,0,1,0.019,4,0.995360450758
13,200,10,1,0,0.033224105835,3,1.0
14,200,10,0,1,0.015,3,0.99495623192
15,200,10,1,0,0.0398399829865,3,1.0
16,200,10,0,1,0.028,5,0.998011217408
17,200,10,1,0,0.0321581363678,3,1.0
18,200,10,0,1,0.015,3,0.998554599114
19,200,10,1,0,0.0290679931641,3,1.0
20,300,10,0,1,0.017,4,0.996076910238
21,300,10,1,0,0.0381779670715,3,1.0
22,300,10,0,1,0.018,2,0.994824915604
23,300,10,1,0,0.0374047756195,3,1.0
24,300,10,0,1,0.017,3,0.995350901657
25,300,10,1,0,0.0390751361847,3,1.0
26,300,10,0,1,0.015,3,0.996502240382
27,300,10,1,0,0.0417010784149,3,1.0
28,300,10,0,1,0.02,3,0.996998478097
29,300,10,1,0,0.0368061065674,3,1.0
30,400,10,0,1,0.023,4,0.994297423983
31,400,10,1,0,0.0382039546967,3,1.0
32,400,10,0,1,0.025,3,0.99768643291
33,400,10,1,0,0.0435559749603,3,1.0
34,400,10,0,1,0.022,3,0.998141403979
35,400,10,1,0,0.0384790897369,3,1.0
36,400,10,0,1,0.016,2,0.993923422515
37,400,10,1,0,0.0412850379944,3,1.0
38,400,10,0,1,0.019,3,0.994185543943
39,400,10,1,0,0.0429439544678,3,1.0
40,500,10,0,1,0.021,3,0.994534445401
41,500,10,1,0,0.0428190231323,3,1.0
42,500,10,0,1,0.027,3,0.997159724238
43,500,10,1,0,0.0457499027252,3,1.0
44,500,10,0,1,0.025,3,0.996658594646
45,500,10,1,0,0.0432140827179,3,1.0
46,500,10,0,1,0.025,3,0.997758102607
47,500,10,1,0,0.0430970191956,3,1.0
48,500,10,0,1,0.025,3,0.998643555689
49,500,10,1,0,0.0424978733063,3,1.0
50,1000,10,0,1,0.043,3,0.996425016496
51,1000,10,1,0,0.064003944397,3,1.0
52,1000,10,0,1,0.043,3,0.997331622492
53,1000,10,1,0,0.0687141418457,3,1.0
54,1000,10,0,1,0.036,3,0.994038049491
55,1000,10,1,0,0.0689611434937,3,1.0
56,1000,10,0,1,0.035,3,0.994880936629
57,1000,10,1,0,0.0696909427643,3,1.0
58,1000,10,0,1,0.036,3,0.994774877005
59,1000,10,1,0,0.0709900856018,3,1.0
60,1500,10,0,1,0.055,3,0.994122507677
61,1500,10,1,0,0.0934751033783,3,1.0
62,1500,10,0,1,0.051,3,0.99493996334
63,1500,10,1,0,0.0914368629456,3,1.0
64,1500,10,0,1,0.063,3,0.996259676097
65,1500,10,1,0,0.0932068824768,3,1.0
66,1500,10,0,1,0.063,3,0.997685728245
67,1500,10,1,0,0.0912787914276,3,1.0
68,1500,10,0,1,0.063,3,0.997300157825
69,1500,10,1,0,0.0942990779877,3,1.0
70,2000,10,0,1,0.068,3,0.994149089833
71,2000,10,1,0,0.116533994675,3,1.0
72,2000,10,0,1,0.066,3,0.994204631389
73,2000,10,1,0,0.115530014038,3,1.0
74,2000,10,0,1,0.103,4,0.994694764496
75,2000,10,1,0,0.107852935791,3,1.0
76,2000,10,0,1,0.085,3,0.995821472947
77,2000,10,1,0,0.107878923416,3,1.0
78,2000,10,0,1,0.087,3,0.998108513263
79,2000,10,1,0,0.111816883087,3,1.0
80,2500,10,0,1,0.103,3,0.99663693118
81,2500,10,1,0,0.13202214241,3,1.0
82,2500,10,0,1,0.105,3,0.9972455181
83,2500,10,1,0,0.138463020325,3,1.0
84,2500,10,0,1,0.083,3,0.993640432221
85,2500,10,1,0,0.142874956131,3,1.0
86,2500,10,0,1,0.085,3,0.994478165354
87,2500,10,1,0,0.138506889343,3,1.0
88,2500,10,0,1,0.102,3,0.995049533431
89,2500,10,1,0,0.149878025055,3,1.0
90,5000,10,0,1,0.225,3,0.995865020992
91,5000,10,1,0,0.299217939377,3,1.0
92,5000,10,0,1,0.251,3,0.996242470875
93,5000,10,1,0,0.289216041565,3,1.0
94,5000,10,0,1,0.205,3,0.995595075245
95,5000,10,1,0,0.351760864258,3,1.0
96,5000,10,0,1,0.202,3,0.996240411767
97,5000,10,1,0,0.270970106125,3,1.0
98,5000,10,0,1,0.205,3,0.997372638598
99,5000,10,1,0,0.285970926285,3,1.0
100,10000,10,0,1,0.448,3,0.996790212801
101,10000,10,1,0,0.636127948761,3,1.0
102,10000,10,0,1,0.661,3,0.997615589514
103,10000,10,1,0,0.637742042542,3,1.0
104,10000,10,0,1,0.346,3,0.993373716273
105,10000,10,1,0,0.628572940826,3,1.0
106,10000,10,0,1,0.453,3,0.996196994618
107,10000,10,1,0,0.650418996811,3,1.0
108,10000,10,0,1,0.441,3,0.9968002684
109,10000,10,1,0,0.669320106506,3,1.0
110,100,20,0,1,0.015,2,0.99485454881
111,100,20,1,0,0.0537099838257,3,1.0
112,100,20,0,1,0.019,5,0.998373417927
113,100,20,1,0,0.0481810569763,3,1.0
114,100,20,0,1,0.017,4,0.998812948702
115,100,20,1,0,0.0465221405029,3,1.0
116,100,20,0,1,0.014,3,0.995688958258
117,100,20,1,0,0.0441339015961,3,1.0
118,100,20,0,1,0.018,5,0.998296121859
119,100,20,1,0,0.0472450256348,3,1.0
120,200,20,0,1,0.023,3,0.997591851928
121,200,20,1,0,0.0580639839172,3,1.0
122,200,20,0,1,0.022,3,0.99825437633
123,200,20,1,0,0.0560028553009,3,1.0
124,200,20,0,1,0.018,2,0.994355029238
125,200,20,1,0,0.0573451519012,3,1.0
126,200,20,0,1,0.022,2,0.996527204665
127,200,20,1,0,0.0537559986115,3,1.0
128,200,20,0,1,0.03,4,0.997818673282
129,200,20,1,0,0.0542769432068,3,1.0
130,300,20,0,1,0.031,3,0.997794199996
131,300,20,1,0,0.0674998760223,3,1.0
132,300,20,0,1,0.025,3,0.996047199608
133,300,20,1,0,0.0672519207001,3,1.0
134,300,20,0,1,0.038,4,0.99824647664
135,300,20,1,0,0.0677859783173,3,1.0
136,300,20,0,1,0.031,3,0.997985816616
137,300,20,1,0,0.0670371055603,3,1.0
138,300,20,0,1,0.037,5,0.997921336645
139,300,20,1,0,0.0672719478607,3,1.0
140,400,20,0,1,0.027,2,0.994936521676
141,400,20,1,0,0.0743050575256,3,1.0
142,400,20,0,1,0.033,3,0.994690725914
143,400,20,1,0,0.0740849971771,3,1.0
144,400,20,0,1,0.035,3,0.993677399328
145,400,20,1,0,0.0762820243835,3,1.0
146,400,20,0,1,0.027,2,0.992985859548
147,400,20,1,0,0.0718009471893,3,1.0
148,400,20,0,1,0.026,2,0.995026286097
149,400,20,1,0,0.0758781433105,3,1.0
150,500,20,0,1,0.049,4,0.995457705712
151,500,20,1,0,0.077320098877,3,1.0
152,500,20,0,1,0.044,3,0.998208498753
153,500,20,1,0,0.113243103027,3,1.0
154,500,20,0,1,0.057,4,0.998331947289
155,500,20,1,0,0.0829041004181,3,1.0
156,500,20,0,1,0.039,3,0.99465126357
157,500,20,1,0,0.078204870224,3,1.0
158,500,20,0,1,0.054,4,0.997273504312
159,500,20,1,0,0.0855648517609,3,1.0
160,1000,20,0,1,0.073,3,0.994597996869
161,1000,20,1,0,0.120146989822,3,1.0
162,1000,20,0,1,0.067,3,0.995226526484
163,1000,20,1,0,0.122184991837,3,1.0
164,1000,20,0,1,0.07,3,0.994256209206
165,1000,20,1,0,0.129963874817,3,1.0
166,1000,20,0,1,0.082,3,0.997485372166
167,1000,20,1,0,0.128369092941,3,1.0
168,1000,20,0,1,0.082,3,0.997297231652
169,1000,20,1,0,0.124336957932,3,1.0
170,1500,20,0,1,0.12,3,0.99800261509
171,1500,20,1,0,0.170600891113,3,1.0
172,1500,20,0,1,0.118,3,0.99750827201
173,1500,20,1,0,0.167110204697,3,1.0
174,1500,20,0,1,0.099,3,0.994600027708
175,1500,20,1,0,0.172554016113,3,1.0
176,1500,20,0,1,0.098,3,0.993971873237
177,1500,20,1,0,0.162313938141,3,1.0
178,1500,20,0,1,0.099,3,0.994134768943
179,1500,20,1,0,0.162565946579,3,1.0
180,2000,20,0,1,0.128,3,0.995006175859
181,2000,20,1,0,0.213957071304,3,1.0
182,2000,20,0,1,0.126,3,0.993453051789
183,2000,20,1,0,0.219367980957,3,1.0
184,2000,20,0,1,0.158,3,0.994889881698
185,2000,20,1,0,0.204925060272,3,1.0
186,2000,20,0,1,0.126,3,0.994226339972
187,2000,20,1,0,0.212382078171,3,1.0
188,2000,20,0,1,0.157,3,0.997475665839
189,2000,20,1,0,0.205018997192,3,1.0
190,2500,20,0,1,0.2,3,0.997213968003
191,2500,20,1,0,0.252377986908,3,1.0
192,2500,20,0,1,0.197,3,0.995660336296
193,2500,20,1,0,0.260185003281,3,1.0
194,2500,20,0,1,0.2,3,0.996700680645
195,2500,20,1,0,0.255629062653,3,1.0
196,2500,20,0,1,0.2,3,0.997404579005
197,2500,20,1,0,0.259444952011,3,1.0
198,2500,20,0,1,0.158,3,0.994596209558
199,2500,20,1,0,0.260615110397,3,1.0
200,5000,20,0,1,0.422,3,0.996717681034
201,5000,20,1,0,0.516532897949,3,1.0
202,5000,20,0,1,0.456,3,0.995930291518
203,5000,20,1,0,0.538965940475,3,1.0
204,5000,20,0,1,0.402,3,0.996484562443
205,5000,20,1,0,0.539615154266,3,1.0
206,5000,20,0,1,0.447,3,0.997218723674
207,5000,20,1,0,0.513573884964,3,1.0
208,5000,20,0,1,0.423,3,0.997068417212
209,5000,20,1,0,0.520385026932,3,1.0
210,10000,20,0,1,1.103,3,0.9962353188
211,10000,20,1,0,1.29850292206,3,1.0
212,10000,20,0,1,1.008,3,0.995859767125
213,10000,20,1,0,1.26466107368,3,1.0
214,10000,20,0,1,1.185,3,0.996765365739
