,m,n,pyearth,earth,time,forward_iterations,rsq
0,100,10,0,1,0.018,4,0.997883598122
1,100,10,1,0,0.0227839946747,3,1.0
2,100,10,0,1,0.011,4,0.996881210468
3,100,10,1,0,0.0221090316772,3,1.0
4,200,10,0,1,0.017,4,0.998707854563
5,200,10,1,0,0.0254650115967,3,1.0
6,200,10,0,1,0.014,3,0.996956679809
7,200,10,1,0,0.0252499580383,3,1.0
8,300,10,0,1,0.018,3,0.998441250546
9,300,10,1,0,0.0272920131683,3,1.0
10,300,10,0,1,0.018,3,0.995254718626
11,300,10,1,0,0.02707695961,3,1.0
12,400,10,0,1,0.018,3,0.995116522479
13,400,10,1,0,0.0303208827972,3,1.0
14,400,10,0,1,0.021,3,0.996590783142
15,400,10,1,0,0.0298571586609,3,1.0
16,500,10,0,1,0.023,3,0.993308999688
17,500,10,1,0,0.0325949192047,3,1.0
18,500,10,0,1,0.041,3,0.99785197561
19,500,10,1,0,0.0360150337219,3,1.0
20,1000,10,0,1,0.058,5,0.997569594769
21,1000,10,1,0,0.0451688766479,3,1.0
22,1000,10,0,1,0.036,3,0.994394449261
23,1000,10,1,0,0.0438961982727,3,1.0
24,1500,10,0,1,0.076,3,0.996244568908
25,1500,10,1,0,0.0602090358734,3,1.0
26,1500,10,0,1,0.066,3,0.997435110464
27,1500,10,1,0,0.0552208423615,3,1.0
28,2000,10,0,1,0.086,3,0.996082947254
29,2000,10,1,0,0.0710952281952,3,1.0
30,2000,10,0,1,0.069,3,0.99307046119
31,2000,10,1,0,0.0674061775208,3,1.0
32,2500,10,0,1,0.12,3,0.995917685851
33,2500,10,1,0,0.0794348716736,3,1.0
34,2500,10,0,1,0.106,3,0.997174973606
35,2500,10,1,0,0.0816440582275,3,1.0
36,5000,10,0,1,0.227,3,0.997146359173
37,5000,10,1,0,0.154555082321,3,1.0
38,5000,10,0,1,0.179,3,0.993718601825
39,5000,10,1,0,0.157385826111,3,1.0
40,10000,10,0,1,0.598,3,0.996852521988
41,10000,10,1,0,0.372275829315,3,1.0
42,10000,10,0,1,0.46,3,0.993845509741
43,10000,10,1,0,0.406131982803,3,1.0
44,100,20,0,1,0.028,5,0.998255748375
45,100,20,1,0,0.0509049892426,3,1.0
46,100,20,0,1,0.018,6,0.995741533275
47,100,20,1,0,0.0394032001495,3,1.0
48,200,20,0,1,0.017,2,0.995746271829
49,200,20,1,0,0.044497013092,3,1.0
50,200,20,0,1,0.024,4,0.998071522654
51,200,20,1,0,0.043967962265,3,1.0
52,300,20,0,1,0.031,4,0.997070486545
53,300,20,1,0,0.0478432178497,3,1.0
54,300,20,0,1,0.022,2,0.994083744287
55,300,20,1,0,0.0489819049835,3,1.0
56,400,20,0,1,0.039,3,0.998856643146
57,400,20,1,0,0.0552761554718,3,1.0
58,400,20,0,1,0.033,3,0.994478786046
59,400,20,1,0,0.0533990859985,3,1.0
60,500,20,0,1,0.038,3,0.995199015652
61,500,20,1,0,0.0576179027557,3,1.0
62,500,20,0,1,0.038,3,0.995608683416
63,500,20,1,0,0.0586359500885,3,1.0
64,1000,20,0,1,0.086,3,0.996577698827
65,1000,20,1,0,0.0839169025421,3,1.0
66,1000,20,0,1,0.083,3,0.996518383841
67,1000,20,1,0,0.0834920406342,3,1.0
68,1500,20,0,1,0.126,3,0.996708995398
69,1500,20,1,0,0.107971191406,3,1.0
70,1500,20,0,1,0.12,3,0.997882110985
71,1500,20,1,0,0.111341953278,3,1.0
72,2000,20,0,1,0.132,3,0.993553506698
73,2000,20,1,0,0.133734941483,3,1.0
74,2000,20,0,1,0.134,3,0.994015435757
75,2000,20,1,0,0.141046047211,3,1.0
76,2500,20,0,1,0.207,3,0.997529570712
77,2500,20,1,0,0.160536050797,3,1.0
78,2500,20,0,1,0.206,3,0.996204371595
79,2500,20,1,0,0.160384893417,3,1.0
80,5000,20,0,1,0.451,3,0.996636532891
81,5000,20,1,0,0.313901185989,3,1.0
82,5000,20,0,1,0.429,3,0.995140869807
83,5000,20,1,0,0.313606023788,3,1.0
84,10000,20,0,1,1.323,3,0.996037806175
85,10000,20,1,0,0.990570068359,3,1.0
86,10000,20,0,1,1.232,3,0.9964839479
87,10000,20,1,0,0.96662902832,3,1.0
88,100,30,0,1,0.017,2,0.996064752996
89,100,30,1,0,0.0566139221191,3,1.0
90,100,30,0,1,0.018,3,0.993628622145
91,100,30,1,0,0.0552890300751,3,1.0
92,200,30,0,1,0.028,3,0.996141197703
